date,market,department,sales,gross,labor
2025-01-07,m5,floral,533.92,253.7,77.33
2025-01-07,m5,hba,1910.57,741.87,137.06
2025-01-07,m6,produce,4379.23,1559.16,509.03
2025-01-07,m6,meat,3786.96,1083.16,407.32
2025-01-07,m6,seafood,1057.31,316.44,124.9
2025-01-07,m6,deli,2901.62,1284.39,502.39
2025-01-07,m6,bakery,1862.65,921.73,306.71
2025-01-07,m6,grocery,12738.49,2765.33,772.96
2025-01-07,m6,dairy,3804.69,939.49,190.79
2025-01-07,m6,frozen,2696.99,711.38,139.92
2025-01-07,m6,floral,557.96,275.25,76.65
2025-01-07,m6,hba,1969.46,745.46,140.38
2025-01-08,m1,produce,4609.78,1623.7,553.68
2025-01-08,m1,meat,3819.22,1074.3,411.87
2025-01-08,m1,seafood,1245.55,362.49,154.55
2025-01-08,m1,deli,2939.45,1340.17,539.34
2025-01-08,m1,bakery,2047.48,1015.4,316.33
2025-01-08,m1,grocery,12762.86,2779.22,754.37
2025-01-08,m1,dairy,4103.25,997.76,201.89
2025-01-08,m1,frozen,2632.98,707.0,130.62
2025-01-08,m1,floral,657.33,308.46,91.44
2025-01-08,m1,hba,2207.93,847.94,159.54
2025-01-08,m2,produce,4038.83,1396.71,486.52
2025-01-08,m2,meat,3119.97,862.42,341.27
2025-01-08,m2,seafood,1045.36,316.52,125.09
2025-01-08,m2,deli,2474.56,1094.42,444.47
2025-01-08,m2,bakery,1779.81,905.71,277.24
2025-01-08,m2,grocery,10229.98,2252.68,620.33
2025-01-08,m2,dairy,3314.91,810.78,169.08
2025-01-08,m2,frozen,2320.97,616.31,113.26
2025-01-08,m2,floral,543.26,256.77,75.91
2025-01-08,m2,hba,1860.45,688.85,129.34
2025-01-08,m3,produce,5471.99,1880.08,666.95
2025-01-08,m3,meat,4440.62,1224.27,494.57
2025-01-08,m3,seafood,1333.71,406.14,163.5
2025-01-08,m3,deli,3234.94,1449.18,567.19
2025-01-08,m3,bakery,2421.12,1211.86,373.44
2025-01-08,m3,grocery,14077.96,3161.88,841.74
2025-01-08,m3,dairy,4697.49,1138.73,244.04
2025-01-08,m3,frozen,3116.26,864.11,160.69
2025-01-08,m3,floral,780.39,379.52,109.3
2025-01-08,m3,hba,2512.42,957.46,181.46
2025-01-08,m4,produce,3368.23,1177.09,396.4
2025-01-08,m4,meat,2636.15,744.22,296.14
2025-01-08,m4,seafood,855.87,258.71,100.85
2025-01-08,m4,deli,1963.13,872.05,346.91
2025-01-08,m4,bakery,1383.78,693.56,215.0
2025-01-08,m4,grocery,8553.43,1903.65,521.68
2025-01-08,m4,dairy,2654.72,633.6,133.19
2025-01-08,m4,frozen,1863.09,494.19,92.56
2025-01-08,m4,floral,488.75,235.78,69.49
2025-01-08,m4,hba,1533.17,591.89,106.29
2025-01-08,m5,produce,4241.94,1471.47,519.36
2025-01-08,m5,meat,3800.13,1092.98,415.31
2025-01-08,m5,seafood,1187.76,357.32,143.71
2025-01-08,m5,deli,2704.04,1196.33,484.23
2025-01-08,m5,bakery,1822.4,902.24,295.76
2025-01-08,m5,grocery,11814.66,2546.99,707.03
2025-01-08,m5,dairy,3626.72,876.8,174.47
2025-01-08,m5,frozen,2522.94,683.82,121.37
2025-01-08,m5,floral,646.59,303.58,90.25
2025-01-08,m5,hba,1918.71,723.82,131.21
2025-01-08,m6,produce,4846.76,1722.95,575.99
2025-01-08,m6,meat,4158.99,1187.71,448.42
2025-01-08,m6,seafood,1227.52,357.64,147.77
2025-01-08,m6,deli,3228.3,1439.66,588.07
2025-01-08,m6,bakery,2173.23,1096.51,354.79
2025-01-08,m6,grocery,13777.25,2976.32,794.92
2025-01-08,m6,dairy,4018.78,942.88,203.66
2025-01-08,m6,frozen,2836.41,752.87,144.08
2025-01-08,m6,floral,723.4,340.31,102.14
2025-01-08,m6,hba,2275.59,844.73,163.36
2025-01-09,m1,produce,5362.46,1832.73,619.08
2025-01-09,m1,meat,4549.11,1287.31,518.74
2025-01-09,m1,seafood,1569.71,476.99,181.98
2025-01-09,m1,deli,3232.67,1465.81,563.35
2025-01-09,m1,bakery,2255.98,1151.7,363.86
2025-01-09,m1,grocery,12080.8,2734.93,741.24
2025-01-09,m1,dairy,3904.66,933.09,193.21
2025-01-09,m1,frozen,2909.58,778.1,149.55
2025-01-09,m1,floral,881.58,413.14,127.97
2025-01-09,m1,hba,2143.47,830.58,152.53
2025-01-09,m2,produce,4327.58,1535.9,538.65
2025-01-09,m2,meat,3850.24,1098.0,424.82
2025-01-09,m2,seafood,1345.96,402.23,164.5
2025-01-09,m2,deli,2633.92,1210.28,486.65
2025-01-09,m2,bakery,1789.56,915.27,280.46
2025-01-09,m2,grocery,10635.47,2355.29,631.95
2025-01-09,m2,dairy,3211.61,787.02,156.49
2025-01-09,m2,frozen,2400.52,659.72,118.49
2025-01-09,m2,floral,753.56,366.07,103.61
2025-01-09,m2,hba,1709.53,667.08,115.7
2025-01-09,m3,produce,6022.66,2106.49,737.65
2025-01-09,m3,meat,5433.37,1534.66,597.23
2025-01-09,m3,seafood,1877.45,549.48,220.28
2025-01-09,m3,deli,3718.0,1653.64,673.61
2025-01-09,m3,bakery,2518.81,1261.74,400.61
2025-01-09,m3,grocery,14795.26,3221.91,902.12
2025-01-09,m3,dairy,4455.58,1053.39,216.02
2025-01-09,m3,frozen,3241.23,855.16,162.53
2025-01-09,m3,floral,1007.91,474.66,137.91
2025-01-09,m3,hba,2428.18,935.14,176.45
2025-01-09,m4,produce,3595.87,1242.17,417.71
2025-01-09,m4,meat,3146.13,866.51,337.2
2025-01-09,m4,seafood,1056.33,317.55,124.47
2025-01-09,m4,deli,2325.86,1049.99,425.27
2025-01-09,m4,bakery,1479.85,756.28,236.6
2025-01-09,m4,grocery,9117.25,2014.71,545.7
2025-01-09,m4,dairy,2759.15,649.66,133.01
2025-01-09,m4,frozen,2125.27,573.06,109.0
2025-01-09,m4,floral,591.9,276.85,83.72
2025-01-09,m4,hba,1414.28,526.11,99.5
2025-01-09,m5,produce,4772.61,1719.92,555.23
2025-01-09,m5,meat,4520.95,1273.94,508.87
2025-01-09,m5,seafood,1465.46,440.23,175.16
2025-01-09,m5,deli,2996.33,1377.49,560.48
2025-01-09,m5,bakery,2045.73,1030.29,330.19
2025-01-09,m5,grocery,12215.2,2759.51,715.78
2025-01-09,m5,dairy,3658.13,886.4,177.89
2025-01-09,m5,frozen,2672.35,703.14,128.3
2025-01-09,m5,floral,807.34,389.7,111.14
2025-01-09,m5,hba,1955.11,752.17,139.08
2025-01-09,m6,produce,5355.81,1895.61,664.49
2025-01-09,m6,meat,5008.23,1412.83,558.01
2025-01-09,m6,seafood,1737.63,518.95,209.26
2025-01-09,m6,deli,3379.99,1558.27,624.3
2025-01-09,m6,bakery,2207.12,1081.44,347.7
2025-01-09,m6,grocery,13512.7,2985.14,797.05
2025-01-09,m6,dairy,4007.11,972.59,203.56
2025-01-09,m6,frozen,3188.4,860.89,159.34
2025-01-09,m6,floral,859.13,401.0,119.62
2025-01-09,m6,hba,2181.09,816.4,147.68
2025-01-10,m1,produce,7148.03,2552.24,862.92
2025-01-10,m1,meat,7267.94,2096.02,810.49
2025-01-10,m1,seafood,2383.91,695.44,291.93
2025-01-10,m1,deli,3892.73,1767.65,724.01
2025-01-10,m1,bakery,2657.74,1335.67,429.82
2025-01-10,m1,grocery,14476.43,3106.71,858.02
2025-01-10,m1,dairy,4499.02,1090.79,231.39
2025-01-10,m1,frozen,3517.98,960.89,172.92
2025-01-10,m1,floral,1146.96,560.9,161.22
2025-01-10,m1,hba,2429.13,912.8,167.64
2025-01-10,m2,produce,6080.63,2115.98,730.53
2025-01-10,m2,meat,6199.82,1752.37,684.3
2025-01-10,m2,seafood,2056.14,605.28,244.01
2025-01-10,m2,deli,3403.71,1543.2,625.41
2025-01-10,m2,bakery,2264.23,1135.46,374.67
2025-01-10,m2,grocery,12238.95,2724.6,712.1
2025-01-10,m2,dairy,4073.0,983.91,199.4
2025-01-10,m2,frozen,2938.14,795.72,147.52
2025-01-10,m2,floral,895.39,442.48,129.5
2025-01-10,m2,hba,2066.14,767.11,148.47
2025-01-10,m3,produce,7856.02,2785.34,943.39
2025-01-10,m3,meat,7816.4,2232.55,892.84
2025-01-10,m3,seafood,2734.26,822.8,325.06
2025-01-10,m3,deli,4679.3,2106.73,867.83
2025-01-10,m3,bakery,3271.87,1613.97,535.64
2025-01-10,m3,grocery,16519.96,3729.09,991.81
2025-01-10,m3,dairy,5430.24,1286.28,267.14
2025-01-10,m3,frozen,4151.51,1154.46,207.4
2025-01-10,m3,floral,1218.41,586.19,168.46
2025-01-10,m3,hba,2820.75,1074.68,196.75
2025-01-10,m4,produce,4697.47,1613.4,572.6
2025-01-10,m4,meat,4903.06,1350.91,551.23
2025-01-10,m4,seafood,1630.16,496.23,198.83
2025-01-10,m4,deli,2818.08,1259.47,513.9
2025-01-10,m4,bakery,1983.26,1020.24,317.2
2025-01-10,m4,grocery,9672.34,2128.21,584.53
2025-01-10,m4,dairy,3321.11,814.96,165.26
2025-01-10,m4,frozen,2511.73,676.41,127.82
2025-01-10,m4,floral,761.73,369.03,103.69
2025-01-10,m4,hba,1702.9,665.32,117.66
2025-01-10,m5,produce,6615.89,2336.38,816.25
2025-01-10,m5,meat,6839.5,1956.35,745.12
2025-01-10,m5,seafood,2275.65,691.65,278.74
2025-01-10,m5,deli,3847.15,1683.01,668.58
2025-01-10,m5,bakery,2642.12,1354.42,439.56
2025-01-10,m5,grocery,14103.65,3090.51,819.03
2025-01-10,m5,dairy,4404.66,1080.75,219.24
2025-01-10,m5,frozen,3465.91,958.45,167.0
2025-01-10,m5,floral,1074.06,509.16,148.86
2025-01-10,m5,hba,2235.99,851.26,157.34
2025-01-10,m6,produce,7383.91,2533.2,856.22
2025-01-10,m6,meat,7572.96,2135.66,815.75
2025-01-10,m6,seafood,2667.94,783.24,319.16
2025-01-10,m6,deli,3998.6,1772.96,691.5
2025-01-10,m6,bakery,2970.24,1520.87,481.99
2025-01-10,m6,grocery,14692.52,3221.05,870.66
2025-01-10,m6,dairy,4846.12,1172.77,240.84
2025-01-10,m6,frozen,3663.93,1009.76,178.79
2025-01-10,m6,floral,1139.68,546.49,156.2
2025-01-10,m6,hba,2580.59,985.03,187.76
2025-01-11,m1,produce,9202.22,3313.14,1118.25
2025-01-11,m1,meat,9063.47,2547.81,1011.8
2025-01-11,m1,seafood,3124.82,912.08,378.17
2025-01-11,m1,deli,4878.71,2248.66,863.15
2025-01-11,m1,bakery,4146.58,2086.61,655.62
2025-01-11,m1,grocery,17623.63,3905.32,1072.46
2025-01-11,m1,dairy,5611.65,1359.66,288.18
2025-01-11,m1,frozen,4530.99,1252.98,229.2
2025-01-11,m1,floral,1316.44,629.65,185.48
2025-01-11,m1,hba,2996.23,1110.57,206.3
2025-01-11,m2,produce,8183.03,2808.32,953.07
2025-01-11,m2,meat,7912.76,2278.25,872.55
2025-01-11,m2,seafood,2699.87,826.02,317.69
2025-01-11,m2,deli,4282.95,1925.23,789.83
2025-01-11,m2,bakery,3506.7,1736.38,543.8
2025-01-11,m2,grocery,15462.26,3328.38,962.36
2025-01-11,m2,dairy,4834.87,1175.98,251.03
2025-01-11,m2,frozen,3980.26,1094.31,196.88
2025-01-11,m2,floral,1173.93,547.05,164.83
2025-01-11,m2,hba,2477.7,951.29,175.83
2025-01-11,m3,produce,10895.14,3887.07,1353.47
2025-01-11,m3,meat,10245.84,2823.02,1084.22
2025-01-11,m3,seafood,3642.5,1096.78,451.62
2025-01-11,m3,deli,5455.98,2390.85,1007.52
2025-01-11,m3,bakery,4819.75,2381.27,765.5
2025-01-11,m3,grocery,19273.79,4353.77,1138.33
2025-01-11,m3,dairy,6309.24,1477.62,325.24
2025-01-11,m3,frozen,4957.22,1334.73,251.24
2025-01-11,m3,floral,1580.92,779.15,219.9
2025-01-11,m3,hba,3449.0,1283.45,239.79
2025-01-11,m4,produce,6312.53,2207.97,751.93
2025-01-11,m4,meat,6783.89,1846.23,738.5
2025-01-11,m4,seafood,2123.05,654.13,262.01
2025-01-11,m4,deli,3279.35,1492.15,592.38
2025-01-11,m4,bakery,2953.05,1464.01,468.64
2025-01-11,m4,grocery,11792.76,2535.59,727.27
2025-01-11,m4,dairy,3825.84,927.17,193.46
2025-01-11,m4,frozen,3161.95,829.21,161.73
2025-01-11,m4,floral,915.37,429.52,128.81
2025-01-11,m4,hba,1961.31,757.15,134.08
2025-01-11,m5,produce,8671.36,3102.3,1026.29
2025-01-11,m5,meat,8498.49,2436.76,897.65
2025-01-11,m5,seafood,3001.54,881.26,349.52
2025-01-11,m5,deli,4520.69,1994.58,824.21
2025-01-11,m5,bakery,3643.56,1768.75,596.49
2025-01-11,m5,grocery,16083.95,3501.05,939.89
2025-01-11,m5,dairy,4982.37,1213.11,249.64
2025-01-11,m5,frozen,4354.34,1174.0,222.56
2025-01-11,m5,floral,1276.67,598.43,178.79
2025-01-11,m5,hba,2905.68,1073.91,208.01
2025-01-11,m6,produce,10226.33,3583.82,1223.04
2025-01-11,m6,meat,10188.0,2777.47,1118.8
2025-01-11,m6,seafood,3171.19,961.98,380.25
2025-01-11,m6,deli,5334.27,2338.99,927.97
2025-01-11,m6,bakery,4273.35,2081.0,671.43
2025-01-11,m6,grocery,18498.35,4081.44,1094.38
2025-01-11,m6,dairy,6050.01,1454.67,301.38
2025-01-11,m6,frozen,4746.82,1250.82,241.17
2025-01-11,m6,floral,1458.9,706.62,208.64
2025-01-11,m6,hba,3142.49,1173.73,219.12
2025-01-12,m1,produce,7477.79,2591.94,894.0
2025-01-12,m1,meat,6512.9,1779.31,712.22
2025-01-12,m1,seafood,1984.36,590.82,231.51
2025-01-12,m1,deli,4069.39,1783.67,751.93
2025-01-12,m1,bakery,3335.78,1627.52,543.92
2025-01-12,m1,grocery,15936.13,3517.81,962.78
2025-01-12,m1,dairy,4910.37,1166.44,238.1
2025-01-12,m1,frozen,3526.5,961.6,179.86
2025-01-12,m1,floral,1011.99,492.2,146.99
2025-01-12,m1,hba,2628.97,990.12,185.17
2025-01-12,m2,produce,6345.83,2241.93,744.7
2025-01-12,m2,meat,5364.14,1533.08,583.8
2025-01-12,m2,seafood,1702.88,513.14,209.37
2025-01-12,m2,deli,3433.15,1588.91,633.71
2025-01-12,m2,bakery,2989.21,1507.4,460.15
2025-01-12,m2,grocery,13699.82,3073.54,806.7
2025-01-12,m2,dairy,4015.69,975.49,197.72
2025-01-12,m2,frozen,2993.33,784.25,154.1
2025-01-12,m2,floral,835.16,398.49,113.57
2025-01-12,m2,hba,2241.87,827.92,160.02
2025-01-12,m3,produce,8587.65,2991.22,1017.4
2025-01-12,m3,meat,7455.14,2115.19,838.23
2025-01-12,m3,seafood,2260.12,661.15,261.51
2025-01-12,m3,deli,4336.07,1965.03,791.35
2025-01-12,m3,bakery,3907.67,1972.82,624.51
2025-01-12,m3,grocery,17669.46,3834.38,1081.79
2025-01-12,m3,dairy,5395.62,1289.5,265.1
2025-01-12,m3,frozen,4189.19,1130.17,212.26
2025-01-12,m3,floral,1071.45,511.06,151.19
2025-01-12,m3,hba,2845.89,1068.55,194.61
2025-01-12,m4,produce,5185.35,1788.25,613.69
2025-01-12,m4,meat,4371.33,1242.11,468.37
2025-01-12,m4,seafood,1350.12,409.98,162.02
2025-01-12,m4,deli,2824.08,1294.18,490.93
2025-01-12,m4,bakery,2522.11,1226.42,388.0
2025-01-12,m4,grocery,11273.63,2534.09,680.52
2025-01-12,m4,dairy,3441.29,836.29,170.93
2025-01-12,m4,frozen,2408.82,631.68,118.75
2025-01-12,m4,floral,703.83,340.23,101.15
2025-01-12,m4,hba,1898.46,703.59,136.55
2025-01-12,m5,produce,7114.73,2503.43,855.4
2025-01-12,m5,meat,6174.64,1709.22,670.49
2025-01-12,m5,seafood,1823.56,536.17,219.01
2025-01-12,m5,deli,3565.88,1605.6,662.7
2025-01-12,m5,bakery,3253.6,1649.0,533.86
2025-01-12,m5,grocery,15144.12,3278.99,882.95
2025-01-12,m5,dairy,4495.94,1085.66,229.48
2025-01-12,m5,frozen,3452.82,914.2,176.41
2025-01-12,m5,floral,926.71,451.61,132.44
2025-01-12,m5,hba,2460.06,958.61,173.09
2025-01-12,m6,produce,8180.01,2884.39,1010.2
2025-01-12,m6,meat,6984.22,1914.63,741.73
2025-01-12,m6,seafood,2037.88,604.13,240.14
2025-01-12,m6,deli,3917.51,1763.66,694.46
2025-01-12,m6,bakery,3633.53,1768.46,596.79
2025-01-12,m6,grocery,15540.19,3493.56,958.91
2025-01-12,m6,dairy,5183.26,1244.51,258.39
2025-01-12,m6,frozen,3778.25,1037.99,194.9
2025-01-12,m6,floral,1019.71,498.56,144.49
2025-01-12,m6,hba,2684.2,1018.5,182.65
2025-01-13,m1,produce,4203.55,1506.48,498.11
2025-01-13,m1,meat,3677.37,1029.95,393.91
2025-01-13,m1,seafood,886.58,264.98,105.87
2025-01-13,m1,deli,2734.79,1205.46,487.26
2025-01-13,m1,bakery,1835.17,912.56,289.83
2025-01-13,m1,grocery,11815.23,2644.46,717.27
2025-01-13,m1,dairy,3534.56,827.66,179.25
2025-01-13,m1,frozen,2447.21,669.62,123.89
2025-01-13,m1,floral,591.55,290.31,81.71
2025-01-13,m1,hba,1986.95,738.8,137.42
2025-01-13,m2,produce,3894.55,1379.32,463.31
2025-01-13,m2,meat,3089.27,887.73,334.64
2025-01-13,m2,seafood,763.56,233.08,93.92
2025-01-13,m2,deli,2358.75,1082.39,432.69
2025-01-13,m2,bakery,1624.08,813.33,262.89
2025-01-13,m2,grocery,9869.42,2153.27,585.66
2025-01-13,m2,dairy,3040.29,717.16,157.46
2025-01-13,m2,frozen,2123.1,563.83,103.08
2025-01-13,m2,floral,462.76,226.71,62.72
2025-01-13,m2,hba,1720.42,666.9,124.13
2025-01-13,m3,produce,4800.99,1663.89,588.39
2025-01-13,m3,meat,3987.49,1108.24,426.77
2025-01-13,m3,seafood,1080.61,329.46,132.88
2025-01-13,m3,deli,3032.92,1359.71,542.03
2025-01-13,m3,bakery,2195.33,1080.38,349.69
2025-01-13,m3,grocery,13166.4,2939.8,786.76
2025-01-13,m3,dairy,4263.65,1011.58,218.45
2025-01-13,m3,frozen,2867.47,789.78,141.86
2025-01-13,m3,floral,682.95,337.35,95.32
2025-01-13,m3,hba,2216.78,836.41,155.52
2025-01-13,m4,produce,3206.84,1143.73,394.09
2025-01-13,m4,meat,2429.02,669.92,270.21
2025-01-13,m4,seafood,660.49,198.79,76.74
2025-01-13,m4,deli,1976.07,907.97,349.58
2025-01-13,m4,bakery,1347.68,664.65,222.62
2025-01-13,m4,grocery,7901.65,1731.84,491.03
2025-01-13,m4,dairy,2514.58,601.73,124.22
2025-01-13,m4,frozen,1667.97,438.28,83.41
2025-01-13,m4,floral,387.4,191.47,53.69
2025-01-13,m4,hba,1314.37,512.37,94.5
2025-01-13,m5,produce,4220.61,1503.04,491.79
2025-01-13,m5,meat,3347.31,955.79,373.98
2025-01-13,m5,seafood,832.84,252.93,99.53
2025-01-13,m5,deli,2463.91,1080.77,434.84
2025-01-13,m5,bakery,1841.8,923.6,300.05
2025-01-13,m5,grocery,11146.53,2395.03,657.45
2025-01-13,m5,dairy,3440.41,803.29,170.92
2025-01-13,m5,frozen,2445.98,658.71,118.49
2025-01-13,m5,floral,561.91,271.28,75.62
2025-01-13,m5,hba,1874.99,701.46,127.51
2025-01-13,m6,produce,4563.44,1608.21,536.25
2025-01-13,m6,meat,3748.69,1059.98,398.69
2025-01-13,m6,seafood,1000.33,292.32,120.29
2025-01-13,m6,deli,2867.11,1328.0,518.32
2025-01-13,m6,bakery,1948.12,972.31,315.08
2025-01-13,m6,grocery,12876.72,2791.01,742.7
2025-01-13,m6,dairy,3991.64,949.07,203.3
2025-01-13,m6,frozen,2659.95,729.88,135.5
2025-01-13,m6,floral,586.88,274.0,82.47
2025-01-13,m6,hba,2134.05,795.13,152.72
2025-01-14,m1,produce,3965.11,1404.06,480.83
2025-01-14,m1,meat,3341.12,910.99,375.64
2025-01-14,m1,seafood,905.68,268.34,104.72
2025-01-14,m1,deli,2426.03,1061.71,451.83
2025-01-14,m1,bakery,1707.99,879.06,274.22
2025-01-14,m1,grocery,10534.21,2352.75,616.43
2025-01-14,m1,dairy,3361.95,820.46,173.02
2025-01-14,m1,frozen,2254.23,594.93,111.52
2025-01-14,m1,floral,531.54,258.86,76.76
2025-01-14,m1,hba,1798.44,702.83,125.85
2025-01-14,m2,produce,3381.47,1213.64,406.4
2025-01-14,m2,meat,2837.11,805.21,301.57
2025-01-14,m2,seafood,781.02,238.84,94.06
2025-01-14,m2,deli,2088.01,915.93,380.68
2025-01-14,m2,bakery,1421.51,715.13,226.1
2025-01-14,m2,grocery,9354.76,2039.72,540.74
2025-01-14,m2,dairy,3006.4,715.15,156.31
2025-01-14,m2,frozen,1904.92,529.14,98.66
2025-01-14,m2,floral,416.39,201.52,57.66
2025-01-14,m2,hba,1592.75,611.76,115.53
2025-01-14,m3,produce,4412.6,1554.38,541.43
2025-01-14,m3,meat,3552.88,968.97,399.52
2025-01-14,m3,seafood,1031.98,307.42,124.5
2025-01-14,m3,deli,2906.61,1322.03,541.98
2025-01-14,m3,bakery,1936.07,983.32,311.6
2025-01-14,m3,grocery,12457.33,2723.85,756.38
2025-01-14,m3,dairy,3824.13,896.5,194.81
2025-01-14,m3,frozen,2636.43,707.01,132.47
2025-01-14,m3,floral,574.33,271.72,80.06
2025-01-14,m3,hba,2195.75,823.65,158.82
2025-01-14,m4,produce,2782.98,951.99,343.38
2025-01-14,m4,meat,2257.26,647.15,247.21
2025-01-14,m4,seafood,610.43,185.13,75.28
2025-01-14,m4,deli,1719.25,766.58,298.69
2025-01-14,m4,bakery,1198.79,613.47,197.2
2025-01-14,m4,grocery,7720.59,1742.08,468.34
2025-01-14,m4,dairy,2457.63,590.14,119.16
2025-01-14,m4,frozen,1556.95,411.27,79.66
2025-01-14,m4,floral,341.16,164.29,47.26
